date,temp_mean,temp_min,temp_max,feels_like_mean,feels_like_min,feels_like_max,humidity_mean,wind_speed_mean,wind_speed_max,rain_sum,snow_sum,weather_main,weather_description,weather_icon
2021-10-04,77.32083333333334,67.98,85.98,78.62375,68.95,87.04,74.91666666666667,2.7845833333333334,NaN,4.11,0,Clouds,broken clouds,04n
2021-10-05,74.95625000000001,63.99,85.98,75.16125,64.08,84.61,67.5,3.0141666666666675,NaN,2.52,0,Clouds,broken clouds,04d
2021-10-06,76.415,66.97,85.98,76.99916666666668,67.41,87.04,68.04166666666667,2.9408333333333334,NaN,0.11,0,Clouds,few clouds,03d
2021-10-07,74.99083333333334,62.98,86.99,75.81500000000001,63.39,88.48,71.66666666666667,2.65,NaN,0.17,0,Clouds,scattered clouds,03d
2021-10-08,76.15916666666668,62.98,87.98,77.62500000000001,63.39,91,73.5,2.9429166666666666,NaN,0,0,Clear,sky is clear,01d
2021-10-09,75.44083333333334,63.99,88.99,77.65708333333332,64.51,95.36,78.20833333333333,1.7912499999999998,NaN,0,0,Clouds,sky is clear,01n
2021-10-10,78.35833333333333,69.98,88.99,83.58708333333333,71.15,101.59,85.04166666666667,3.0829166666666663,NaN,0,0,Clouds,scattered clouds,03n
2021-10-11,78.06208333333333,67.98,83.98,79.30791666666667,68.85,89.8,78,3.0704166666666666,NaN,1.31,0,Clouds,sky is clear,04d
2021-10-12,80.10791666666667,71.98,89.98,85.23333333333332,72.73,102.58,80.54166666666667,2.223333333333333,NaN,0.25,0,Clouds,scattered clouds,02n
2021-10-13,80.81458333333335,73.98,89.98,85.49416666666666,75.54,99.07,82.33333333333333,3.863749999999999,NaN,0.11,0,Clouds,broken clouds,04n
2021-10-14,77.78458333333334,74.98,84.56,80.09958333333334,76.64,91.35,90.16666666666667,4.6975,NaN,10.34,0,Clouds,overcast clouds,04n
2021-10-15,78.99833333333333,73.04,89.98,83.07375,74.41,102.58,86.33333333333333,3.43875,NaN,0,0,Clouds,scattered clouds,03d
2021-10-16,73.72666666666667,68.14,81.25,73.85666666666667,67.3,87.01,60.291666666666664,3.2566666666666673,NaN,0.79,0,Clouds,broken clouds,04n
